road,id,model_type,condition,name,lat,lon,length
N1,1000144,link,,Daudkandi bridge,23.5307771,90.7090278,78.00000000000296
N1,1000145,link,,Start of Comilla road Division / Start of Comilla road Division,23.5313882,90.7153611,354.9999999999969
N1,1000146,link,,Road to Matlab (Z1062),23.5314716,90.7172216,426.00000000000193
N1,1000147,link,,Bridge start,23.5315271,90.7173604,76.99999999999818
N1,1000148,link,,Bridge end,23.5315827,90.7176104,17.000000000003013
N1,1000149,link,,Km post missing,23.5317216,90.7180271,46.999999999997044
N1,1000150,link,,Box culvert,23.5322346,90.7226298386,512.9999999999982
N1,1000151,bridge,C,Baldhakhal Bridge,23.5324186,90.7242807234,23.1
N1,1000152,link,,Km post missing,23.5327216,90.7269993,487.0000000000019
N1,1000153,bridge,B,MAIS PARA BOX CULVERT,23.5317587831999,90.7291780095,6.0
N1,1000154,link,,Km post missing,23.528916,90.7356108,1000.0
N1,1000155,link,,Ctg 214 km,23.5289993,90.7419441,654.0000000000034
N1,1000156,link,,Bridge start,23.5293882,90.7514167,966.9999999999987
N1,1000157,link,,Bridge end,23.5293882,90.7515833,16.999999999995907
N1,1000158,link,,Km post broken,23.529416,90.75175,24.00000000000091
N1,1000159,bridge,C,SHAHID NAGIR,23.5298050611,90.75825325,16.5
N1,1000160,link,,Km post Missing,23.5299993,90.7615,1000.0
N1,1000161,link,,Km post Missing,23.5304438,90.7713049,1000.0
N1,1000162,link,,Box culvert,23.5304993,90.7731104,185.00000000000227
N1,1000163,bridge,C,SARKAR BARI CULVERT,23.5307655282208,90.7800797251533,3.9
N1,1000164,link,,Km post Missing,23.5308049,90.7811104,814.9999999999977
N1,1000165,intersection,,"Z1402, road to Pennai",23.5307493,90.7816104,0.0
N1,1000166,link,,"Z1053, Road to Homna",23.530666,90.7821938,118.99999999999977
N1,1000167,link,,Box culvert,23.5312216,90.7895552,773.0000000000032
N1,1000168,link,,Km post Missing,23.531166,90.7907219,107.99999999999699
N1,1000169,bridge,C,AMIRABATH SLAB CULVERT,23.5308683409424,90.7918075171727,6.5
N1,1000170,intersection,,Z1044,23.5306938,90.7924441,0.0
N1,1000171,link,,Km post Missing,23.5308604,90.8002222,1000.0
N1,1000172,link,,Bridge start,23.5308882,90.8041389,402.9999999999987
N1,1000173,link,,Bridge end,23.530916,90.8043611,20.000000000003126
N1,1000174,link,,Km post Missing,23.5316382,90.8099167,576.9999999999982
N1,1000175,bridge,A,Ginlatoly bridge,23.5318234765,90.8110155135,15.9
N1,1000176,link,,Km post Missing,23.5332493,90.8194716,1000.0
N1,1000177,link,,Bridge start,23.5346663,90.8249716,594.0000000000011
N1,1000178,link,,Bridge end,23.5347219,90.8251104,15.999999999998238
N1,1000179,link,,Km post Missing,23.5344997,90.8287216,390.00000000000057
N1,1000180,bridge,A,RAIPUR BOX CULVERT,23.5329743291,90.8309774761999,12.2
N1,1000181,link,,Km post Missing,23.5292216,90.8365274,1000.0
N1,1000182,link,,Box culvert,23.5270549,90.8391386,367.00000000000443
N1,1000183,link,,Km post Missing,23.523166,90.8438886,632.9999999999956
N1,1000184,bridge,C,AITAL BANGA BOX CULVERT,23.5229166652,90.8442186132,4.5
N1,1000185,link,,Km post Missing,23.5174993,90.8513889,1000.0
N1,1000186,link,,Km post Missing,23.5170827,90.8607778,1000.0
N1,1000187,link,,Km post Missing,23.5135833,90.8697771,1000.0
N1,1000188,link,,Bridge start,23.5133056,90.8703049,64.00000000000006
N1,1000189,link,,Bridge end,23.5131111,90.8706382,42.00000000000159
N1,1000190,intersection,,"Z1042, road to Bancharampur",23.5126389,90.871416,0.0
N1,1000191,bridge,C,Illiot bazar Bridge,23.510087758207,90.8757204035353,28.9
N1,1000192,link,,Km post Missing,23.5088056,90.8778604,893.9999999999984
N1,1000193,link,,Km post Missing,23.506,90.8869163,1000.0
N1,1000194,link,,Box culvert,23.5056111,90.8958886,922.0000000000041
N1,1000195,link,,Km post Missing,23.5056389,90.8966108,77.99999999999585
N1,1000196,bridge,B,KHAT GHOR BOX CULVERT,23.5060024341,90.9021745389,5.9
N1,1000197,link,,Km post Missing,23.5062778,90.9063889,1000.0
N1,1000198,link,,Box culvert,23.50575,90.91525,911.0000000000014
N1,1000199,link,,Km post Missing,23.5057222,90.9160278,88.99999999999864
N1,1000200,bridge,B,BAKRA BOX CULVERT,23.5056131416,90.9214660218,3.0
N1,1000201,link,,Km post Missing,23.5055278,90.9257216,1000.0
N1,1000202,link,,Km post Missing,23.5042778,90.9354163,1000.0
N1,1000203,link,,"Z1017, Road to Companiganj",23.5043333,90.9354719,9.000000000000341
